Jun/25/2018 17:39:53
epoches, top1
Jun/25/2018 17:40:21
epoches, top1
Jun/25/2018 17:41:06
epoches, top1
1535,tensor(55.0347, device='cuda:0')
1540,tensor(56.5972, device='cuda:0')
1545,tensor(55.3819, device='cuda:0')
1550,tensor(54.5139, device='cuda:0')
1555,tensor(55.0347, device='cuda:0')
1560,tensor(54.5139, device='cuda:0')
1565,tensor(55.5556, device='cuda:0')
1570,tensor(55.0347, device='cuda:0')
1575,tensor(55.3819, device='cuda:0')
1580,tensor(55.2083, device='cuda:0')
1585,tensor(55.0347, device='cuda:0')
1590,tensor(55.9028, device='cuda:0')
1595,tensor(54.5139, device='cuda:0')
1600,tensor(55.3819, device='cuda:0')
1605,tensor(57.2917, device='cuda:0')
1610,tensor(54.5139, device='cuda:0')
1615,tensor(55.3819, device='cuda:0')
1620,tensor(56.2500, device='cuda:0')
1625,tensor(55.5556, device='cuda:0')
1630,tensor(55.3819, device='cuda:0')
1635,tensor(55.0347, device='cuda:0')
1640,tensor(55.0347, device='cuda:0')
1645,tensor(56.2500, device='cuda:0')
1650,tensor(56.2500, device='cuda:0')
1655,tensor(55.3819, device='cuda:0')
1660,tensor(54.8611, device='cuda:0')
1665,tensor(56.2500, device='cuda:0')
1670,tensor(56.4236, device='cuda:0')
1675,tensor(55.7292, device='cuda:0')
1680,tensor(57.1181, device='cuda:0')
1685,tensor(54.5139, device='cuda:0')
1690,tensor(54.5139, device='cuda:0')
1695,tensor(57.1181, device='cuda:0')
1700,tensor(55.2083, device='cuda:0')
1705,tensor(58.3333, device='cuda:0')
1710,tensor(55.3819, device='cuda:0')
1715,tensor(54.5139, device='cuda:0')
1720,tensor(54.6875, device='cuda:0')
1725,tensor(56.2500, device='cuda:0')
1730,tensor(55.9028, device='cuda:0')
1735,tensor(57.2917, device='cuda:0')
1740,tensor(56.4236, device='cuda:0')
1745,tensor(54.5139, device='cuda:0')
1750,tensor(55.0347, device='cuda:0')
1755,tensor(55.2083, device='cuda:0')
1760,tensor(56.5972, device='cuda:0')
1765,tensor(54.8611, device='cuda:0')
1770,tensor(55.3819, device='cuda:0')
1775,tensor(54.5139, device='cuda:0')
1780,tensor(56.9444, device='cuda:0')
1785,tensor(56.7708, device='cuda:0')
1790,tensor(57.2917, device='cuda:0')
1795,tensor(55.5556, device='cuda:0')
1800,tensor(55.5556, device='cuda:0')
1805,tensor(54.5139, device='cuda:0')
1810,tensor(54.5139, device='cuda:0')
1815,tensor(58.1597, device='cuda:0')
1820,tensor(57.8125, device='cuda:0')
1825,tensor(56.2500, device='cuda:0')
1830,tensor(54.5139, device='cuda:0')
1835,tensor(54.8611, device='cuda:0')
1840,tensor(54.8611, device='cuda:0')
1845,tensor(55.2083, device='cuda:0')
1850,tensor(55.3819, device='cuda:0')
1855,tensor(55.3819, device='cuda:0')
1860,tensor(54.5139, device='cuda:0')
1865,tensor(56.7708, device='cuda:0')
1870,tensor(55.2083, device='cuda:0')
1875,tensor(58.1597, device='cuda:0')
1880,tensor(55.5556, device='cuda:0')
1885,tensor(54.5139, device='cuda:0')
1890,tensor(56.4236, device='cuda:0')
1895,tensor(56.2500, device='cuda:0')
1900,tensor(54.5139, device='cuda:0')
1905,tensor(55.5556, device='cuda:0')
1910,tensor(54.5139, device='cuda:0')
1915,tensor(55.2083, device='cuda:0')
1920,tensor(55.2083, device='cuda:0')
1925,tensor(55.2083, device='cuda:0')
1930,tensor(54.6875, device='cuda:0')
1935,tensor(54.5139, device='cuda:0')
1940,tensor(55.9028, device='cuda:0')
1945,tensor(55.9028, device='cuda:0')
1950,tensor(56.7708, device='cuda:0')
1955,tensor(55.7292, device='cuda:0')
1960,tensor(55.0347, device='cuda:0')
1965,tensor(56.2500, device='cuda:0')
1970,tensor(54.5139, device='cuda:0')
1975,tensor(55.3819, device='cuda:0')
1980,tensor(56.5972, device='cuda:0')
1985,tensor(55.2083, device='cuda:0')
1990,tensor(56.2500, device='cuda:0')
1995,tensor(54.5139, device='cuda:0')
2000,tensor(54.5139, device='cuda:0')
2005,tensor(55.0347, device='cuda:0')
2010,tensor(54.5139, device='cuda:0')
2015,tensor(54.5139, device='cuda:0')
2020,tensor(54.8611, device='cuda:0')
2025,tensor(57.4653, device='cuda:0')
2030,tensor(56.2500, device='cuda:0')
2035,tensor(55.5556, device='cuda:0')
2040,tensor(56.4236, device='cuda:0')
2045,tensor(55.7292, device='cuda:0')
2050,tensor(55.3819, device='cuda:0')
2055,tensor(56.5972, device='cuda:0')
2060,tensor(56.9444, device='cuda:0')
2065,tensor(54.5139, device='cuda:0')
2070,tensor(56.0764, device='cuda:0')
2075,tensor(56.4236, device='cuda:0')
2080,tensor(55.2083, device='cuda:0')
2085,tensor(55.3819, device='cuda:0')
2090,tensor(57.2917, device='cuda:0')
2095,tensor(54.5139, device='cuda:0')
2100,tensor(54.5139, device='cuda:0')
2105,tensor(56.4236, device='cuda:0')
2110,tensor(55.3819, device='cuda:0')
2115,tensor(55.3819, device='cuda:0')
2120,tensor(57.9861, device='cuda:0')
2125,tensor(56.5972, device='cuda:0')
2130,tensor(55.0347, device='cuda:0')
2135,tensor(56.9444, device='cuda:0')
2140,tensor(54.5139, device='cuda:0')
2145,tensor(57.2917, device='cuda:0')
2150,tensor(55.9028, device='cuda:0')
2155,tensor(55.2083, device='cuda:0')
2160,tensor(56.4236, device='cuda:0')
2165,tensor(55.0347, device='cuda:0')
2170,tensor(56.0764, device='cuda:0')
2175,tensor(56.2500, device='cuda:0')
2180,tensor(56.5972, device='cuda:0')
2185,tensor(54.8611, device='cuda:0')
2190,tensor(54.5139, device='cuda:0')
2195,tensor(55.5556, device='cuda:0')
2200,tensor(55.7292, device='cuda:0')
2205,tensor(57.4653, device='cuda:0')
2210,tensor(55.3819, device='cuda:0')
2215,tensor(57.6389, device='cuda:0')
2220,tensor(56.4236, device='cuda:0')
2225,tensor(56.0764, device='cuda:0')
2230,tensor(55.7292, device='cuda:0')
2235,tensor(55.3819, device='cuda:0')
2240,tensor(54.5139, device='cuda:0')
2245,tensor(54.8611, device='cuda:0')
2250,tensor(54.6875, device='cuda:0')
2255,tensor(54.5139, device='cuda:0')
2260,tensor(56.5972, device='cuda:0')
2265,tensor(56.7708, device='cuda:0')
2270,tensor(54.5139, device='cuda:0')
2275,tensor(57.1181, device='cuda:0')
2280,tensor(54.8611, device='cuda:0')
2285,tensor(54.5139, device='cuda:0')
2290,tensor(54.8611, device='cuda:0')
2295,tensor(55.9028, device='cuda:0')
2300,tensor(54.6875, device='cuda:0')
2305,tensor(56.0764, device='cuda:0')
2310,tensor(56.4236, device='cuda:0')
2315,tensor(55.2083, device='cuda:0')
2320,tensor(55.3819, device='cuda:0')
2325,tensor(54.5139, device='cuda:0')
2330,tensor(56.4236, device='cuda:0')
2335,tensor(58.1597, device='cuda:0')
2340,tensor(55.3819, device='cuda:0')
2345,tensor(56.9444, device='cuda:0')
2350,tensor(55.3819, device='cuda:0')
2355,tensor(54.5139, device='cuda:0')
2360,tensor(58.6806, device='cuda:0')
2365,tensor(56.4236, device='cuda:0')
2370,tensor(56.5972, device='cuda:0')
2375,tensor(55.7292, device='cuda:0')
2380,tensor(56.9444, device='cuda:0')
2385,tensor(55.3819, device='cuda:0')
2390,tensor(56.0764, device='cuda:0')
2395,tensor(54.5139, device='cuda:0')
2400,tensor(54.5139, device='cuda:0')
2405,tensor(55.3819, device='cuda:0')
2410,tensor(56.2500, device='cuda:0')
2415,tensor(59.2014, device='cuda:0')
2420,tensor(54.6875, device='cuda:0')
2425,tensor(54.5139, device='cuda:0')
2430,tensor(57.1181, device='cuda:0')
2435,tensor(55.2083, device='cuda:0')
2440,tensor(56.7708, device='cuda:0')
2445,tensor(57.6389, device='cuda:0')
2450,tensor(55.3819, device='cuda:0')
2455,tensor(56.4236, device='cuda:0')
2460,tensor(56.0764, device='cuda:0')
2465,tensor(55.2083, device='cuda:0')
2470,tensor(54.8611, device='cuda:0')
2475,tensor(55.7292, device='cuda:0')
2480,tensor(56.5972, device='cuda:0')
2485,tensor(57.1181, device='cuda:0')
2490,tensor(55.2083, device='cuda:0')
2495,tensor(56.0764, device='cuda:0')
2500,tensor(54.5139, device='cuda:0')
2505,tensor(54.8611, device='cuda:0')
2510,tensor(54.5139, device='cuda:0')
2515,tensor(54.5139, device='cuda:0')
2520,tensor(54.5139, device='cuda:0')
2525,tensor(55.7292, device='cuda:0')
2530,tensor(56.4236, device='cuda:0')
2535,tensor(54.8611, device='cuda:0')
2540,tensor(54.6875, device='cuda:0')
2545,tensor(54.8611, device='cuda:0')
2550,tensor(55.2083, device='cuda:0')
2555,tensor(54.5139, device='cuda:0')
2560,tensor(55.5556, device='cuda:0')
2565,tensor(57.4653, device='cuda:0')
2570,tensor(55.9028, device='cuda:0')
2575,tensor(56.0764, device='cuda:0')
2580,tensor(56.7708, device='cuda:0')
2585,tensor(54.5139, device='cuda:0')
2590,tensor(55.3819, device='cuda:0')
2595,tensor(55.0347, device='cuda:0')
2600,tensor(55.0347, device='cuda:0')
2605,tensor(55.3819, device='cuda:0')
2610,tensor(55.3819, device='cuda:0')
2615,tensor(54.6875, device='cuda:0')
2620,tensor(56.0764, device='cuda:0')
2625,tensor(55.7292, device='cuda:0')
2630,tensor(57.1181, device='cuda:0')
2635,tensor(56.5972, device='cuda:0')
2640,tensor(54.6875, device='cuda:0')
2645,tensor(56.5972, device='cuda:0')
2650,tensor(55.2083, device='cuda:0')
2655,tensor(57.1181, device='cuda:0')
2660,tensor(56.7708, device='cuda:0')
2665,tensor(55.5556, device='cuda:0')
2670,tensor(54.6875, device='cuda:0')
2675,tensor(55.3819, device='cuda:0')
2680,tensor(54.8611, device='cuda:0')
2685,tensor(54.5139, device='cuda:0')
2690,tensor(56.2500, device='cuda:0')
2695,tensor(55.9028, device='cuda:0')
2700,tensor(54.8611, device='cuda:0')
2705,tensor(56.0764, device='cuda:0')
2710,tensor(56.5972, device='cuda:0')
2715,tensor(56.0764, device='cuda:0')
2720,tensor(56.4236, device='cuda:0')
2725,tensor(56.7708, device='cuda:0')
2730,tensor(55.2083, device='cuda:0')
2735,tensor(54.8611, device='cuda:0')
2740,tensor(54.5139, device='cuda:0')
2745,tensor(54.5139, device='cuda:0')
2750,tensor(56.7708, device='cuda:0')
2755,tensor(54.8611, device='cuda:0')
2760,tensor(55.0347, device='cuda:0')
2765,tensor(56.5972, device='cuda:0')
2770,tensor(54.6875, device='cuda:0')
2775,tensor(54.5139, device='cuda:0')
2780,tensor(55.2083, device='cuda:0')
2785,tensor(57.2917, device='cuda:0')
2790,tensor(55.2083, device='cuda:0')
2795,tensor(54.6875, device='cuda:0')
2800,tensor(54.5139, device='cuda:0')
2805,tensor(56.4236, device='cuda:0')
2810,tensor(54.5139, device='cuda:0')
2815,tensor(55.3819, device='cuda:0')
2820,tensor(55.9028, device='cuda:0')
2825,tensor(55.9028, device='cuda:0')
2830,tensor(54.5139, device='cuda:0')
2835,tensor(57.1181, device='cuda:0')
2840,tensor(55.0347, device='cuda:0')
2845,tensor(55.5556, device='cuda:0')
2850,tensor(55.5556, device='cuda:0')
2855,tensor(57.6389, device='cuda:0')
2860,tensor(56.4236, device='cuda:0')
2865,tensor(55.9028, device='cuda:0')
2870,tensor(55.7292, device='cuda:0')
2875,tensor(55.3819, device='cuda:0')
2880,tensor(55.0347, device='cuda:0')
2885,tensor(55.5556, device='cuda:0')
2890,tensor(55.9028, device='cuda:0')
2895,tensor(56.7708, device='cuda:0')
2900,tensor(55.9028, device='cuda:0')
2905,tensor(56.4236, device='cuda:0')
2910,tensor(56.2500, device='cuda:0')
2915,tensor(54.5139, device='cuda:0')
2920,tensor(54.8611, device='cuda:0')
2925,tensor(55.5556, device='cuda:0')
2930,tensor(54.8611, device='cuda:0')
2935,tensor(55.2083, device='cuda:0')
2940,tensor(55.3819, device='cuda:0')
2945,tensor(55.7292, device='cuda:0')
2950,tensor(54.8611, device='cuda:0')
2955,tensor(56.9444, device='cuda:0')
2960,tensor(58.6806, device='cuda:0')
2965,tensor(55.2083, device='cuda:0')
2970,tensor(55.2083, device='cuda:0')
2975,tensor(56.2500, device='cuda:0')
2980,tensor(55.5556, device='cuda:0')
2985,tensor(55.3819, device='cuda:0')
2990,tensor(56.0764, device='cuda:0')
2995,tensor(55.0347, device='cuda:0')
3000,tensor(54.5139, device='cuda:0')
3005,tensor(54.5139, device='cuda:0')
3010,tensor(55.7292, device='cuda:0')
3015,tensor(54.5139, device='cuda:0')
3020,tensor(56.9444, device='cuda:0')
3025,tensor(56.4236, device='cuda:0')
3030,tensor(56.7708, device='cuda:0')
3035,tensor(55.5556, device='cuda:0')
3040,tensor(55.7292, device='cuda:0')
3045,tensor(56.4236, device='cuda:0')
3050,tensor(55.0347, device='cuda:0')
3055,tensor(54.8611, device='cuda:0')
3060,tensor(54.6875, device='cuda:0')
3065,tensor(56.5972, device='cuda:0')
