Jun/21/2018 13:51:28
epoches, top1
2180,tensor(34.0164, device='cuda:0')
2185,tensor(0., device='cuda:0')
2190,tensor(3.8934, device='cuda:0')
2195,tensor(1.2295, device='cuda:0')
2200,tensor(0., device='cuda:0')
2205,tensor(2.0492, device='cuda:0')
2210,tensor(48.5656, device='cuda:0')
2215,tensor(0., device='cuda:0')
2220,tensor(1.2295, device='cuda:0')
2225,tensor(0., device='cuda:0')
2230,tensor(6.7623, device='cuda:0')
2235,tensor(13.1148, device='cuda:0')
2240,tensor(0., device='cuda:0')
2245,tensor(0.8197, device='cuda:0')
2250,tensor(0., device='cuda:0')
2255,tensor(1.4344, device='cuda:0')
2260,tensor(0., device='cuda:0')
2265,tensor(16.1885, device='cuda:0')
2270,tensor(0.2049, device='cuda:0')
2275,tensor(0., device='cuda:0')
2280,tensor(2.0492, device='cuda:0')
2285,tensor(0.2049, device='cuda:0')
2290,tensor(34.0164, device='cuda:0')
2295,tensor(0., device='cuda:0')
2300,tensor(0.2049, device='cuda:0')
2305,tensor(0., device='cuda:0')
2310,tensor(19.6721, device='cuda:0')
2315,tensor(50.6147, device='cuda:0')
2320,tensor(40.7787, device='cuda:0')
2325,tensor(0., device='cuda:0')
2330,tensor(0., device='cuda:0')
2335,tensor(0., device='cuda:0')
2340,tensor(1.0246, device='cuda:0')
2345,tensor(10.6557, device='cuda:0')
2350,tensor(0., device='cuda:0')
2355,tensor(0., device='cuda:0')
2360,tensor(19.2623, device='cuda:0')
2365,tensor(52.2541, device='cuda:0')
2370,tensor(51.4344, device='cuda:0')
2375,tensor(0., device='cuda:0')
2380,tensor(0., device='cuda:0')
2385,tensor(0., device='cuda:0')
2390,tensor(0., device='cuda:0')
2395,tensor(36.8852, device='cuda:0')
2400,tensor(5.5328, device='cuda:0')
2405,tensor(52.4590, device='cuda:0')
2410,tensor(0., device='cuda:0')
2415,tensor(31.1475, device='cuda:0')
2420,tensor(0.6148, device='cuda:0')
2425,tensor(0., device='cuda:0')
2430,tensor(32.3770, device='cuda:0')
2435,tensor(0.4098, device='cuda:0')
2440,tensor(0., device='cuda:0')
2445,tensor(0., device='cuda:0')
2450,tensor(0., device='cuda:0')
2455,tensor(28.2787, device='cuda:0')
2460,tensor(52.2541, device='cuda:0')
2465,tensor(12.0902, device='cuda:0')
2470,tensor(47.1311, device='cuda:0')
2475,tensor(3.8934, device='cuda:0')
2480,tensor(0., device='cuda:0')
2485,tensor(29.9180, device='cuda:0')
2490,tensor(0., device='cuda:0')
2495,tensor(0., device='cuda:0')
2500,tensor(0.4098, device='cuda:0')
2505,tensor(0., device='cuda:0')
2510,tensor(3.6885, device='cuda:0')
2515,tensor(0., device='cuda:0')
2520,tensor(49.1803, device='cuda:0')
2525,tensor(19.4672, device='cuda:0')
2530,tensor(29.0984, device='cuda:0')
2535,tensor(5.9426, device='cuda:0')
2540,tensor(0.2049, device='cuda:0')
2545,tensor(3.8934, device='cuda:0')
2550,tensor(0., device='cuda:0')
2555,tensor(0.4098, device='cuda:0')
2560,tensor(52.4590, device='cuda:0')
2565,tensor(47.3361, device='cuda:0')
2570,tensor(23.7705, device='cuda:0')
2575,tensor(4.9180, device='cuda:0')
2580,tensor(0., device='cuda:0')
2585,tensor(4.3033, device='cuda:0')
2590,tensor(8.6066, device='cuda:0')
2595,tensor(8.4016, device='cuda:0')
2600,tensor(0., device='cuda:0')
2605,tensor(20.0820, device='cuda:0')
2610,tensor(19.0574, device='cuda:0')
2615,tensor(0., device='cuda:0')
2620,tensor(28.0738, device='cuda:0')
2625,tensor(0.8197, device='cuda:0')
2630,tensor(2.6639, device='cuda:0')
2635,tensor(0., device='cuda:0')
2640,tensor(4.5082, device='cuda:0')
2645,tensor(0., device='cuda:0')
